corp_cd,corp_nm,upjong
302550,리메드,의료·정밀기기
029480,릭스솔루션,통신장비
277070,린드먼아시아,금융
042500,링네트,컴퓨터서비스
219420,링크제니시스,소프트웨어
195500,마니커에프앤지,음식료·담배
222810,마이더스AI,소프트웨어
305090,마이크로디지탈,의료·정밀기기
098120,마이크로컨텍솔,반도체
147760,마이크로프랜드,의료·정밀기기
038290,마크로젠,기타서비스
267980,매일유업,음식료·담배
005990,매일홀딩스,음식료·담배
127160,매직마이크로,반도체
093520,매커스,유통
141070,맥스로텍,기계·장비
100590,머큐리,일반전기전자
067280,멀티캠퍼스,디지털컨텐츠
072870,메가스터디,출판·매체복제
215200,메가스터디교육,기타서비스
133750,메가엠디,기타서비스
235980,메드팩토,기타서비스
041920,메디아나,의료·정밀기기
014100,메디앙스,화학
054180,메디콕스,운송장비·부품
086900,메디톡스,제약
078160,메디포스트,제약
065650,메디프론,유통
021880,메이슨캐피탈,금융
140410,메지온,기타서비스
241770,메카로,반도체
059210,메타바이오메드,제약
058110,멕아이씨에스,의료·정밀기기
096640,멜파스,IT부품
257370,명성티엔에스,IT부품
080420,모다이노칩,IT부품
080160,모두투어,기타서비스
100030,모바일리더,소프트웨어
087260,모바일어플라이언스,소프트웨어
101330,모베이스,IT부품
012860,모베이스전자,운송장비·부품
348030,모비릭스,디지털컨텐츠
250060,모비스,소프트웨어
033200,모아텍,IT부품
118990,모트렉스,운송장비·부품
006920,모헨즈,비금속
001810,무림SP,종이·목재
279600,미디어젠,소프트웨어
095500,미래나노텍,IT부품
218150,미래생명자원,음식료·담배
353490,미래에셋대우스팩 5호,금융
328380,미래에셋대우스팩3호,금융
333430,미래에셋대우스팩4호,금융
100790,미래에셋벤처투자,금융
049950,미래컴퍼니,기계·장비
213090,미래테크놀로지,소프트웨어
207760,미스터블루,디지털컨텐츠
059090,미코,반도체
214610,미코바이오메드,의료·정밀기기
201490,미투온,디지털컨텐츠
950190,미투젠,출판·매체복제
214180,민앤지,소프트웨어
206640,바디텍메드,제약
018700,바른손,오락·문화
035620,바른손이앤에이,오락·문화
064520,바른전자,반도체
053030,바이넥스,제약
301300,바이브컴퍼니,소프트웨어
064550,바이오니아,제약
314930,바이오다인,의료·정밀기기
208710,바이오로그디바이스,IT부품
142760,바이오리더스,기타서비스
086820,바이오솔루션,제약
038460,바이오스마트,정보기기
086040,바이오톡스텍,기타서비스
032980,바이온,유통
043150,바텍,의료·정밀기기
323990,박셀바이오,기타서비스
267790,배럴,섬유·의류
046310,백금T&A,통신장비
066410,버킷스튜디오,디지털컨텐츠
206400,베노홀딩스,소프트웨어
019010,베뉴지,유통
177350,베셀,반도체
299910,베스파,디지털컨텐츠
225530,보광산업,비금속
250000,보라티알,유통
006910,보성파워텍,금속
226340,본느,화학
014470,부방,금융
008470,부스타,금속
338220,뷰노,소프트웨어
100120,뷰웍스,의료·정밀기기
337930,브랜드엑스코퍼레이션,인터넷
064480,브리지텍,컴퓨터서비스
288330,브릿지바이오테라퓨틱스,제약
251630,브이원텍,기계·장비
018290,브이티지엠피,일반전기전자
263920,블러썸엠앤씨,기타제조
033560,블루콤,IT부품
126340,비나텍,IT부품
121800,비덴트,통신장비
148140,비디아이,기계·장비
082800,비보존 헬스케어,반도체
318410,비비씨,기타제조
200780,비씨월드제약,제약
141000,비아트론,반도체
090460,비에이치,IT부품
083650,비에이치아이,기계·장비
086670,비엠티,기계·장비
335890,비올,의료·정밀기기
138580,비즈니스온,소프트웨어
082920,비츠로셀,IT부품
054220,비츠로시스,일반전기전자
042370,비츠로테크,금융
032850,비트컴퓨터,소프트웨어
238200,비피도,음식료·담배
093190,빅솔론,정보기기
065450,빅텍,의료·정밀기기
072950,빛샘전자,반도체
143240,사람인에이치알,인터넷
100090,삼강엠앤티,금속
122350,삼기,운송장비·부품
014970,삼륭물산,종이·목재
018310,삼목에스폼,금속
053700,삼보모터스,운송장비·부품
009620,삼보산업,금속
023600,삼보판지,종이·목재
111870,삼본전자,일반전기전자
291230,삼성스팩2호,금융
009300,삼아제약,제약
225190,삼양옵틱스,의료·정밀기기
054540,삼영엠텍,금속
065570,삼영이엔씨,통신장비
032280,삼일,운송
002290,삼일기업공사,건설
037460,삼지전자,통신장비
032750,삼진,일반전기전자
054090,삼진엘앤디,IT부품
000250,삼천당제약,제약
024950,삼천리자전거,유통
038500,삼표시멘트,비금속
017480,삼현철강,금속
046390,삼화네트웍스,오락·문화
027580,상보,화학
038540,상상인,컴퓨터서비스
307870,상상인이안1호스팩,금융
329560,상상인이안제2호스팩,금융
101000,상상인인더스트리,기계·장비
091580,상신이디피,IT부품
263810,상신전자,일반전기전자
089980,상아프론테크,화학
042940,상지카일룸,건설
042600,새로닉스,IT부품
263540,샘코,운송장비·부품
294630,서남,일반전기전자
038070,서린바이오,유통
006730,서부T&D,숙박·음식
079650,서산,비금속
100660,서암기계공업,기계·장비
019770,서연탑메탈,기계·장비
043710,서울리거,유통
092190,서울바이오시스,IT부품
046890,서울반도체,반도체
063170,서울옥션,유통
027040,서울전자통신,유통
018680,서울제약,제약
093920,서원인텍,IT부품
189860,서전기전,일반전기전자
178320,서진시스템,통신장비
122690,서진오토모티브,운송장비·부품
140070,서플러스글로벌,유통
011370,서한,건설
065710,서호전기,일반전기전자
035890,서희건설,건설
357550,석경에이티,화학
003100,선광,운송
123420,선데이토즈,디지털컨텐츠
171090,선익시스템,반도체
086710,선진뷰티사이언스,화학
014620,성광벤드,금속
037350,성도이엔지,기타서비스
081580,성우전자,IT부품
045300,성우테크론,반도체
015750,성우하이텍,운송장비·부품
080470,성창오토텍,운송장비·부품
043260,성호전자,IT부품
148150,세경하이테크,일반전기전자
053060,세동,운송장비·부품
017510,세명전기,금속
214310,세미콘라이트,반도체
011560,세보엠이씨,건설
100700,세운메디칼,제약
234100,세원,운송장비·부품
024830,세원물산,운송장비·부품
258830,세종메디칼,의료·정밀기기
036630,세종텔레콤,통신서비스
039310,세중,기타서비스
067770,세진티에스,IT부품
053450,세코닉스,의료·정밀기기
234340,세틀뱅크,소프트웨어
252500,세화피앤씨,화학
347000,센코,일반전기전자
051980,센트럴바이오,화학
331920,셀레믹스,제약
049180,셀루메드,제약
299660,셀리드,기타서비스
268600,셀리버리,기타서비스
108860,셀바스AI,소프트웨어
208370,셀바스헬스케어,의료·정밀기기
068760,셀트리온제약,제약
091990,셀트리온헬스케어,유통
290690,소룩스,일반전기전자
053110,소리바다,디지털컨텐츠
950200,소마젠(Reg.S),기타서비스
032680,소프트센,유통
032685,소프트센우,유통
258790,소프트캠프,출판·매체복제
066910,손오공,유통
043100,솔고바이오,의료·정밀기기
154040,솔루에타,IT부품
035610,솔본,기타서비스
357780,솔브레인,화학
036830,솔브레인홀딩스,화학
304100,솔트룩스,소프트웨어
086980,쇼박스,오락·문화
050960,수산아이앤티,출판·매체복제
084180,수성이노베이션,기계·장비
253840,수젠텍,의료·정밀기기
058530,슈펙스비앤피,유통
236200,슈프리마,일반전기전자
317770,슈프리마아이디,일반전기전자
094840,슈프리마에이치큐,컴퓨터서비스
192440,슈피겐코리아,IT부품
099440,스맥,기계·장비
033790,스카이문스테크놀로지,통신장비
131100,스카이이앤엠,유통
159910,스킨앤스킨,반도체
158310,스타모빌리티,기계·장비
115570,스타플렉스,화학
253450,스튜디오드래곤,오락·문화
204630,스튜디오산타클로스,오락·문화
013810,스페코,기계·장비
039670,스포츠서울,출판·매체복제
049830,승일,금속
020710,시공테크,기타서비스
033170,시그네틱스,반도체
048870,시너지이노베이션,의료·정밀기기
025320,시노펙스,IT부품
269620,시스웍,의료·정밀기기
131090,시큐브,소프트웨어
139050,시티랩스,컴퓨터서비스
290520,신도기연,기계·장비
001000,신라섬유,유통
025870,신라에스지,유통
215600,신라젠,기타서비스
065350,신성델타테크,일반전기전자
002800,신신제약,제약
323280,신영스팩5호,금융
344050,신영스팩6호,금융
017000,신원종합개발,건설
012790,신일제약,제약
138070,신진에스엠,금속
226330,신테카바이오,출판·매체복제
333050,신한제6호스팩,금융
366330,신한제7호스팩,금융
056700,신화인터텍,IT부품
187270,신화콘텍,IT부품
243840,신흥에스이씨,IT부품
108320,실리콘웍스,반도체
222800,심텍,반도체
036710,심텍홀딩스,IT부품
160980,싸이맥스,반도체
356890,싸이버원,소프트웨어
217330,싸이토젠,기타서비스
010280,쌍용정보통신,컴퓨터서비스
208640,썸에이지,출판·매체복제
222420,쎄노텍,비금속
037760,쎄니트,금속
136510,쎄미시스코,기계·장비
099320,쎄트렉아이,통신장비
049960,쎌바이오텍,제약
050890,쏠리드,통신장비
066790,씨씨에스,방송서비스
222080,씨아이에스,기계·장비
264660,씨앤지하이테크,반도체
352700,씨앤투스성진,섬유·의류
297090,씨에스베어링,기계·장비
115530,씨엔플러스,IT부품
225330,씨엠에스에듀,기타서비스
115480,씨유메디칼,의료·정밀기기
189330,씨이랩,소프트웨어
096530,씨젠,제약
900120,씨케이에이치,금융
101240,씨큐브,화학
060590,씨티씨바이오,제약
260930,씨티케이코스메틱스,화학
013990,아가방컴퍼니,유통
123860,아나패스,반도체
025980,아난티,숙박·음식
050320,아래스,컴퓨터서비스
058220,아리온,통신장비
125210,아모그린텍,IT부품
052710,아모텍,IT부품
074430,아미노로직스,유통
092040,아미코젠,음식료·담배
083930,아바코,기계·장비
149950,아바텍,IT부품
036010,아비코전자,일반전기전자
050860,아세아텍,기계·장비
246720,아스타,제약
067390,아스트,운송장비·부품
127710,아시아경제,디지털컨텐츠
154030,아시아종묘,"농업, 임업 및 어업"
227610,아우딘퓨쳐스,화학
143160,아이디스,통신장비
054800,아이디스홀딩스,기타서비스
332370,아이디피,정보기기
339950,아이비김영,기타서비스
099190,아이센스,의료·정밀기기
289010,아이스크림에듀,출판·매체복제
214430,아이쓰리시스템,일반전기전자
040910,아이씨디,반도체
068940,아이씨케이,정보기기
052860,아이앤씨,반도체
069920,아이에스이커머스,유통
038880,아이에이,반도체
123010,아이에이네트웍스,반도체
307180,아이엘사이언스,일반전기전자
101390,아이엠,IT부품
090740,아이엠이연이,IT부품
226350,아이엠텍,통신장비
078860,아이오케이,오락·문화
114810,아이원스,IT부품
031310,아이즈비전,통신장비
185490,아이진,기타서비스
059100,아이컴포넌트,IT부품
262840,아이퀘스트,소프트웨어
175250,아이큐어,제약
052460,아이크래프트,컴퓨터서비스
119830,아이텍,반도체
052770,아이톡시,디지털컨텐츠
124500,아이티센,컴퓨터서비스
084850,아이티엠반도체,반도체
027360,아주IB투자,금융
032080,아즈텍WB,섬유·의류
013310,아진산업,운송장비·부품
059120,아진엑스텍,반도체
158430,아톤,소프트웨어
067160,아프리카TV,소프트웨어
001540,안국약품,제약
053800,안랩,소프트웨어
065660,안트로젠,유통
297570,알로이스,통신장비
260660,알리코제약,제약
131370,알서포트,디지털컨텐츠
140670,알에스오토메이션,IT부품
096610,알에프세미,반도체
061040,알에프텍,통신장비
148250,알엔투테크놀로지,정보기기
347860,알체라,소프트웨어
196170,알테오젠,기타서비스
123750,알톤스포츠,운송장비·부품
085810,알티캐스트,소프트웨어
117670,알파홀딩스,반도체
291650,압타머사이언스,기타서비스
293780,압타바이오,기타서비스
196300,애니젠,제약
310200,애니플러스,오락·문화
205500,액션스퀘어,디지털컨텐츠
052790,액토즈소프트,디지털컨텐츠
131400,액트,IT부품
290740,액트로,IT부품
238090,앤디포스,비금속
092600,앤씨앤,반도체
129890,앱코,정보기기
174900,앱클론,제약
255440,야스,IT부품
030960,양지사,출판·매체복제
102120,어보브반도체,반도체
238120,얼라인드,의료·정밀기기
019990,에너토크,기계·장비
038680,에스넷,컴퓨터서비스
217480,에스디생명공학,화학
121890,에스디시스템,정보기기
097780,에스맥,IT부품
042110,에스씨디,일반전기전자
298060,에스씨엠생명과학,제약
065420,에스아이리소스,광업
103230,에스앤더블류,기계·장비
900080,에스앤씨엔진그룹,금융
101490,에스앤에스텍,반도체
095910,에스에너지,IT부품
275630,에스에스알,소프트웨어
031330,에스에이엠티,유통
060540,에스에이티,통신장비
056190,에스에프에이,기계·장비
080000,에스엔유,기계·장비
041510,에스엠,오락·문화
007820,에스엠코어,기계·장비
109610,에스와이,금속
306040,에스제이그룹,섬유·의류
080440,에스제이케이,유통
096630,에스코넥,IT부품
069510,에스텍,일반전기전자
041910,에스텍파마,제약
234300,에스트래픽,소프트웨어
039440,에스티아이,반도체
098660,에스티오,섬유·의류
052020,에스티큐브,IT부품
237690,에스티팜,제약
050760,에스폴리텍,화학
288620,에스퓨얼셀,일반전기전자
317830,에스피시스템스,기계·장비
058610,에스피지,IT부품
043340,에쎈테크,기계·장비
054630,에이디칩스,기타제조
200710,에이디테크놀로지,반도체
096690,에이루트,정보기기
298380,에이비엘바이오,제약
195990,에이비프로바이오,기계·장비
003800,에이스침대,기타제조
088800,에이스테크,통신장비
241840,에이스토리,오락·문화
138360,에이씨티,화학
039230,에이아이비트,반도체
312610,에이에프더블류,일반전기전자
102210,에이치디,운송장비·부품
072990,에이치시티,기타서비스
176440,에이치엔티,IT부품
028300,에이치엘비,운송장비·부품
067630,에이치엘비생명과학,기타서비스
047920,에이치엘비제약,기타서비스
043220,에이치엘비파워,기계·장비
239610,에이치엘사이언스,음식료·담배
353070,에이치엠씨제4호스팩,금융
353060,에이치엠씨제5호스팩,금융
044780,에이치케이,기계·장비
071670,에이테크솔루션,기계·장비
045660,에이텍,정보기기
224110,에이텍티앤,정보기기
230980,에이트원,출판·매체복제
021080,에이티넘인베스트,금융
089530,에이티세미콘,반도체
200470,에이팩트,반도체
073070,에이팸,운송장비·부품
262260,에이프로,일반전기전자
109960,에이프로젠 H&G,유통
089970,에이피티씨,기계·장비
230240,에치에프알,일반전기전자
064510,에코마이스터,기계·장비
230360,에코마케팅,기타서비스
038870,에코바이오,기타서비스
128540,에코캡,운송장비·부품
086520,에코프로,IT부품
247540,에코프로비엠,일반전기전자
038110,에코플라스틱,운송장비·부품
073540,에프알텍,통신장비
064850,에프앤가이드,기타서비스
064090,에프앤리퍼블릭,유통
036810,에프에스티,반도체
173940,에프엔씨엔터,오락·문화
083500,에프엔에스테크,기계·장비
054940,엑사이엔씨,건설
950130,엑세스바이오,제약
205100,엑셈,소프트웨어
070300,엑스큐어,소프트웨어
092870,엑시콘,반도체
317870,엔바이오니아,기타제조
067570,엔브이에이치코리아,운송장비·부품
236810,엔비티,기타서비스
333620,엔시스,일반전기전자
101400,엔시트론,반도체
217820,엔에스,기계·장비
031860,엔에스엔,유통
310840,엔에이치스팩13호,금융
353190,엔에이치스팩16호,금융
359090,엔에이치스팩17호,금융
365590,엔에이치스팩18호,금융
265740,엔에프씨,화학
354200,엔젠바이오,기타서비스
208860,엔지스테크널러지,소프트웨어
183490,엔지켐생명과학,제약
182400,엔케이맥스,제약
069410,엔텔스,소프트웨어
227950,엔투텍,기계·장비
198080,엔피디,IT부품
048830,엔피케이,화학
096870,엘디티,반도체
061970,엘비세미콘,반도체
138690,엘아이에스,반도체
290650,엘앤씨바이오,제약
066970,엘앤에프,IT부품
156100,엘앤케이바이오,의료·정밀기기
073110,엘엠에스,IT부품
083310,엘오티베큠,반도체
297890,엘이티,기계·장비
037950,엘컴텍,IT부품
170920,엘티씨,반도체
058630,엠게임,디지털컨텐츠
019590,엠벤처투자,금융
169330,엠브레인,기타서비스
097520,엠씨넥스,IT부품
179290,엠아이텍,의료·정밀기기
009780,엠에스씨,음식료·담배
123040,엠에스오토텍,운송장비·부품
323230,엠에프엠코리아,섬유·의류
032790,엠젠플러스,정보기기
033160,엠케이전자,반도체
347890,엠투아이,정보기기
033310,엠투엔,금속
259630,엠플러스,기계·장비
115960,연우,화학
060850,영림원소프트랩,소프트웨어
007530,영신금속,금속
143540,영우디에스피,반도체
036560,영풍정밀,기계·장비
265560,영화테크,운송장비·부품
036000,예림당,출판·매체복제
250930,예선테크,화학
053280,예스24,인터넷
122640,예스티,반도체
900300,오가닉티코스메틱,금융
045060,오공,화학
080520,오디텍,반도체
039830,오로라,기타서비스
322310,오로스테크놀로지,기계·장비
046120,오르비텍,기타서비스
014940,오리엔탈정공,기계·장비
065500,오리엔트정공,운송장비·부품
010470,오리콤,기타서비스
053980,오상자이엘,컴퓨터서비스
052420,오성첨단소재,IT부품
241790,오션브릿지,반도체
039200,오스코텍,제약
226400,오스테오닉,의료·정밀기기
031510,오스템,운송장비·부품
048260,오스템임플란트,의료·정밀기기
138080,오이솔루션,통신장비
080580,오킨스전자,반도체
067170,오텍,운송장비·부품
173130,오파스넷,소프트웨어
049480,오픈베이스,컴퓨터서비스
309930,오하임아이엔티,금융
244460,올리패스,제약
226950,올릭스,기타서비스
057540,옴니시스템,의료·정밀기기
082210,옵트론텍,IT부품
109080,옵티시스,통신장비
153710,옵티팜,제약
321820,와이더플래닛,출판·매체복제
122990,와이솔,반도체
232140,와이아이케이,반도체
065530,와이어블,통신서비스
067900,와이엔텍,기타서비스
155650,와이엠씨,IT부품
251370,와이엠티,화학
066430,와이오엠,유통
193250,와이제이엠게임즈,IT부품
273060,와이즈버즈,기타서비스
019210,와이지-원,금속
122870,와이지엔터테인먼트,오락·문화
332570,와이팜,IT부품
079000,와토스코리아,화학
114630,우노앤컴퍼니,화학
032820,우리기술,일반전기전자
041190,우리기술투자,금융
115440,우리넷,통신장비
046970,우리로,유통
082850,우리바이오,일반전기전자
215360,우리산업,운송장비·부품
072470,우리산업홀딩스,운송장비·부품
073560,우리손에프앤지,음식료·담배
153490,우리이앤엘,반도체
037400,우리조명,일반전기전자
