298000,효성화학,3785,1083706500 
282330,BGF리테일,6617,1076546500 
244920,에이플러스에셋,125928,1074544400 
83420,그린케미칼,74948,1071846950 
3160,디아이,147991,1033237320 
29460,케이씨,36351,1019982850 
72130,유엔젤,237145,1016069185 
9155,삼성전기우,8747,1009186500 
195870,해성디에스,28001,985633050 
13890,지누스,12186,974714800 
10600,웰바이오텍,336159,959570495 
7690,국도화학,13441,958353500 
192400,쿠쿠홀딩스,7734,958117000 
4250,NPC,222754,956262710 
9190,대양금속,228678,937217930 
16610,DB금융투자,143592,930959420 
2150,도화엔지니어링,103721,916494350 
11760,현대코퍼레이션,46590,912152500 
63160,종근당바이오,16537,909174400 
1340,백광산업,189025,893251415 
17810,풀무원,49287,876451950 
214390,경보제약,71377,874184700 
6220,제주은행,116523,871264770 
2140,고려산업,198705,861092885 
5945,NH투자증권우,87631,858274590 
700,유수홀딩스,128593,856680120 
15590,큐로,1304664,855237249 
1790,대한제당,26891,850221950 
8930,한미사이언스,14470,844743600 
970,한국주철관,91211,844256200 
13580,계룡건설,25932,835934700 
150,두산,16689,833974750 
5390,신성통상,511454,828099235 
92440,기신정기,145900,822566320 
47810,한국항공우주,22098,822024450 
5750,대림B&Co,118438,819395200 
8600,윌비스,483675,814750370 
93050,LF,50231,799734650 
12690,모나리자,150606,798990190 
29530,신도리코,25751,789358300 
322000,현대에너지솔루션,22010,788675000 
3690,코리안리,90759,767505090 
25560,미래산업,228539,751912905 
3090,대웅,25844,741134550 
145210,세화아이엠씨,1097790,722134828 
5690,파미셀,50384,715470900 
120030,조선선재,5294,712257500 
2990,금호산업,75384,711948960 
12160,영흥,574780,681370270 
890,보해양조,607135,661287615 
97955,CJ제일제당 우,3511,660680000 
20,동화약품,44474,655909650 
5320,국동,164598,655413880 
185750,종근당,5194,654739500 
910,유니온,78677,652218750 
306200,세아제강,6959,647487000 
2710,TCC스틸,140553,645948755 
69460,대호에이엘,264584,641990270 
2720,국제약품,87024,640498390 
2210,동성제약,52929,633453050 
00680K,미래에셋증권2우B,134166,627921165 
4720,우리들제약,67342,626194940 
210980,SK디앤디,16838,620986300 
1130,대한제분,4012,620056500 
155660,DSR,103571,615221660 
103590,일진전기,157768,613526475 
10660,화천기계,237118,613298215 
3000,부광약품,27092,605272050 
30210,KTB투자증권,69583,603724595 
14580,태경비케이,132366,603162045 
11500,한농화성,40313,602372800 
10040,한국내화,145370,589806590 
25750,한솔홈데코,297045,589129175 
2410,범양건영,148656,576638475 
39130,하나투어,8521,560901000 
30610,교보증권,66227,556685190 
2200,한국수출포장,22385,551381450 
1060,JW중외제약,18264,542800950 
14530,극동유화,95331,541539260 
210540,디와이파워,28551,535851800 
1750,한양증권,39354,530050700 
102280,쌍방울,861482,529115451 
6040,동원산업,2033,524115500 
90370,메타랩스,439535,522234305 
85310,엔케이,388395,519970125 
1880,DL건설,13446,516015650 
390,삼화페인트,43068,509805000 
14820,동원시스템즈,10654,508714650 
58850,KTcs,171497,508411485 
4310,현대약품,67325,505500400 
8700,아남전자,157725,493910150 
3580,넥스트사이언스,60059,491096990 
2840,미원상사,2056,479477500 
69730,DSR제강,84425,477913660 
12030,DB,525334,475026578 
27740,마니커,663606,473252531 
2450,삼익악기,289971,471317270 
91090,세원셀론텍,270809,466743780 
2390,한독,16755,466466250 
28100,동아지질,27109,466028750 
92230,KPX홀딩스,7473,464876600 
1470,삼부토건,241269,463488860 
3650,미창석유,5938,461589500 
3030,세아제강지주,7928,447964100 
14130,한익스프레스,72757,446323060 
3200,일신방직,4561,438007200 
11150,CJ씨푸드,109620,437636805 
12200,계양전기,98171,435037045 
9270,신원,275654,428412300 
3720,삼영화학,155840,423813100 
58860,KTis,141296,421108205 
7460,에이프로젠 KIC,209445,419802260 
32560,황금에스티,48391,414821350 
4100,태양금속,259472,408102890 
1940,KISCO홀딩스,22771,405561350 
286940,롯데정보통신,10566,405170950 
1795,대한제당우,12734,402216900 
17180,명문제약,77022,398672970 
430,대원강업,88391,394521740 
2960,한국쉘석유,1506,383761000 
6090,사조오양,35245,383022100 
8730,율촌화학,18973,380521400 
3780,진양산업,10187,380295120 
1680,대상,14881,376816500 
90430,아모레퍼시픽,511,373356500 
101060,SBS미디어홀딩스,183249,372476525 
16880,웅진,111278,366462800 
9310,참엔지니어링,234950,361988855 
37550K,DL이앤씨우,4714,358481700 
234080,JW생명과학,19190,357137100 
95570,AJ네트웍스,70892,356435630 
363280,티와이홀딩스,11577,349560200 
128820,대성산업,78151,347368470 
33920,무학,47296,347335280 
14440,영보화학,80859,344523840 
130660,한전산업,73391,341933925 
11090,에넥스,196186,341608775 
9580,무림P&P,73583,339204665 
192650,드림텍,39242,334695630 
41650,상신브레이크,77967,333564945 
5110,한창,271330,332767085 
2760,보락,150134,331760975 
122900,아이마켓코리아,35768,330752780 
670,영풍,557,328608000 
77970,STX엔진,40108,326929240 
3060,에이프로젠제약,279718,322287815 
8775,호텔신라우,3673,314023400 
100840,SNT에너지,17894,313837300 
40,KR모터스,227214,308175150 
1570,금양,69057,308113785 
23150,MH에탄올,35011,306542470 
12610,경인양행,44741,305814960 
84680,이월드,94011,305457160 
66575,LG전자우,4705,300929400 
194370,제이에스코퍼레이션,16720,297811750 
282690,동아타이어,26114,297318800 
14910,성문전자,134685,292443125 
15350,부산가스,5132,292083800 
365550,ESR켄달스퀘어리츠,47935,292073480 
17940,E1,6551,289576150 
128940,한미약품,1073,286958500 
7540,샘표,5425,285842600 
1780,알루코,55038,283810805 
11280,태림포장,57446,282735330 
9160,SIMPAC,83178,281112600 
7590,동방아그로,39144,275785520 
15890,태경산업,40092,269682330 
267260,현대일렉트릭,13529,269032150 
118000,우리들휴브레인,123429,268241190 
3680,한성기업,32771,265301920 
34310,NICE,16014,260433950 
6110,삼아알미늄,27499,258977830 
1290,상상인증권,196197,253980955 
30720,동원수산,28030,251314340 
70960,용평리조트,49520,246529430 
138490,코오롱플라스틱,38672,241207830 
9835,한화솔루션우,4146,237703400 
320,노루홀딩스,18092,236794350 
11785,금호석유우,2292,230591000 
13570,디와이,39737,229519100 
3960,사조대림,12498,228263550 
25620,제이준코스메틱,136116,227616445 
1420,태원물산,49105,220267455 
13870,지엠비코리아,28677,219753100 
100220,비상교육,30913,219516780 
3610,방림,92540,217037020 
92200,디아이씨,65627,215998305 
9290,광동제약,24559,215796110 
3080,성보화학,50370,212106070 
3300,한일홀딩스,15998,203729200 
79160,CJ CGV,8082,198179400 
18470,조일알미늄,310996,195480328 
18500,동원금속,175067,195063410 
6125,SK디스커버리우,4730,193027050 
227840,현대코퍼레이션홀딩스,13447,192659400 
12280,영화금속,101267,191534085 
11810,STX,32096,189901840 
268280,미원에스씨,1025,181730500 
15260,에이엔피,122033,179270580 
11330,유니켐,107307,171823530 
1820,삼화콘덴서,2142,171770800 
