code,name,m0301,m0330,m_rate
005490,포스코,253000,281500,-0.11264822134387352
017670,sk텔레콤,245500,247500,-0.008146639511201629
028260,삼성물산,130500,121500,0.06896551724137931
034730,SK,329000,262500,0.20212765957446807
055550,신한지주,31450,32950,-0.04769475357710652
105560,KB금융,42100,43800,-0.040380047505938245
051900,LG생활건강,1564000,1513000,0.03260869565217391
