code,name,m0301,m0330,m_rate
035420,NAVER,377500,380000,-0.006622516556291391
051910,LG화학,891000,788000,0.11560044893378227
207940,삼성바이오로직스,753000,718000,0.04648074369189907
006400,삼성SDI,684000,635000,0.07163742690058479
035720,카카오,491500,485000,0.013224821973550356
068270,셀트리온,291500,307500,-0.0548885077186964
036570,엔씨소프트,946000,906000,0.042283298097251586
