code,name,m0301,m0330,m_rate
035420,NAVER,348000,375000,-0.07758620689655173
051910,LG화학,950000,831000,0.12526315789473685
207940,삼성바이오로직스,813000,750000,0.07749077490774908
006400,삼성SDI,745000,674000,0.0953020134228188
035720,카카오,441500,488000,-0.10532276330690826
068270,셀트리온,371000,297500,0.19811320754716982
036570,엔씨소프트,953000,936000,0.017838405036726127
