corp_cd,corp_nm,first_price,last_price,jusiksu_num
299660,셀리드,40250,93500,9703692
065770,CS,2740,6230,18835150
044180,KD,1120,2500,16525360
048910,대원미디어,22200,45350,12578946
215090,이디티,729,1400,60591698
053290,NE능률,12000,21350,16526307
309930,오하임아이엔티,3180,5620,19747691
109820,진매트릭스,9760,16950,20393640
205470,휴마시스,6760,11650,34223815
310200,애니플러스,1610,2760,28407439
293580,나우IB,10650,17600,9480000
246690,TS인베스트먼트,3259,5310,24670435
289220,자이언트스텝,31600,51400,9427965
021080,에이티넘인베스트,3705,5960,48000000
053160,프리엠스,17650,28300,6000000
039020,이건홀딩스,3570,5480,22584709
020710,시공테크,5900,9020,20047970
095270,웨이브일렉트로,4100,6220,14707614
023460,CNH,2730,4085,37200000
206650,유바이오로직스,20450,30400,34979492
019550,SBI인베스트먼트,1750,2590,162066575
227950,엔투텍,1890,2790,58616478
037400,우리조명,2805,4130,24923346
054410,케이피티유,9380,13700
300080,플리토,13450,19500
263720,디앤씨미디어,36950,53000
038620,위즈코프,1505,2145
049830,승일,18950,26950
950130,엑세스바이오,13050,18400
255220,SG,1900,2675
039860,나노엔텍,7110,9980
253840,수젠텍,14650,20450
297570,알로이스,4965,6920
092300,현우산업,4395,6080
066910,손오공,2685,3710
101390,아이엠,1280,1765
096530,씨젠,130100,178500
138070,신진에스엠,5890,8030
025950,동신건설,42150,57400
032300,한국파마,37550,50900
153490,우리이앤엘,1330,1800
064480,브리지텍,4280,5750
258790,소프트캠프,3325,4450
033830,티비씨,1445,1930
140070,서플러스글로벌,5190,6910
084650,랩지노믹스,17200,22800
094840,슈프리마에이치큐,9030,11900
195990,에이비프로바이오,835,1100
239890,피엔에이치테크,15000,19750
203650,드림시큐리티,4300,5620
053590,한국테크놀로지,1165,1520
204840,지엘팜텍,1265,1650
206640,바디텍메드,16950,22050
006910,보성파워텍,2535,3290
317850,대모,5130,6650
033310,엠투엔,14800,19150
014190,원익큐브,4635,5950
060240,룽투코리아,5660,7260
340570,티앤엘,47200,60500
039240,경남스틸,2795,3575
227610,아우딘퓨쳐스,2020,2580
322780,코퍼스코리아,2490,3180
299030,하나기술,56700,72300
221980,케이디켐,15350,19500
007530,영신금속,3615,4585
297890,엘이티,17900,22700
031980,피에스케이홀딩스,8170,10350
216080,제테마,19550,24750
054920,한컴위드,8650,10950
085810,알티캐스트,1975,2500
025900,동화기업,49150,62200
053260,금강철강,7000,8830
108860,셀바스AI,3330,4200
052460,아이크래프트,7390,9320
277070,린드먼아시아,5770,7240
027830,대성창투,3890,4880
036010,아비코전자,6710,8410
197140,디지캡,5860,7300
102940,코오롱생명과학,19750,24600
027360,아주IB투자,6370,7930
042940,상지카일룸,1390,1725
054040,한국컴퓨터,4635,5750
225220,제놀루션,14599,18100
194480,데브시스터즈,115000,142300
037230,한국팩키지,4880,6030
033130,디지틀조선,3195,3940
207760,미스터블루,10300,12700
101000,상상인인더스트리,1030,1270
098460,고영,23000,28300
287410,제이시스메디칼,4005,4925
227100,디자인,9190,11300
090360,로보스타,23700,29100
237690,에스티팜,85300,104700
123750,알톤스포츠,5280,6470
066620,국보디자인,21750,26650
083450,GST,21800,26700
010470,오리콤,5880,7200
053280,예스24,15450,18900
045340,토탈소프트,18850,23050
150840,인트로메딕,2220,2700
214260,라파스,26650,32400
277880,티에스아이,9760,11850
075970,동국알앤에스,5710,6930
241520,DSC인베스트먼트,5860,7110
156100,엘앤케이바이오,36850,44700
215380,우정바이오,6210,7530
021880,메이슨캐피탈,639,773
060310,3S,2395,2895
114450,KPX생명과학,8360,10100
110990,디아이티,9230,11150
058110,멕아이씨에스,13050,15750
050960,수산아이앤티,31200,37600
214610,미코바이오메드,10250,12300
185490,아이진,17100,20500
033170,시그네틱스,1260,1510
012790,신일제약,13650,16350
124500,아이티센,5280,6320
041190,우리기술투자,9650,11550
160980,싸이맥스,21350,25550
066430,와이오엠,2395,2865
153710,옵티팜,10550,12600
025870,신라에스지,17550,20950
208350,지란지교시큐리티,6240,7440
007770,한일화학,15350,18300
042510,라온시큐어,3940,4690
066970,엘앤에프,78400,93300
036200,유니셈,12900,15350
142280,녹십자엠에스,9940,11800
246710,티앤알바이오팹,37650,44650
108320,실리콘웍스,75600,89600
073640,테라사이언스,2000,2370
024940,PN풍년,5260,6230
219130,타이거일렉,11200,13250
319660,피에스케이,37600,44450
042600,새로닉스,10800,12750
269620,시스웍,1885,2225
023770,플레이위드,9580,11300
323230,엠에프엠코리아,2100,2475
187790,나노,1515,1785
099750,이지케어텍,18050,21250
159580,제로투세븐,10500,12350
037440,희림,4755,5590
019990,에너토크,8070,9480
084110,휴온스글로벌,30800,36150
087600,픽셀플러스,7430,8720
080220,제주반도체,5970,7000
241820,피씨엘,48300,56600
189860,서전기전,4100,4800
060280,큐렉소,8630,10100
347770,핌스,15850,18550
330350,위더스제약,17750,20750
035890,서희건설,1630,1905
255440,야스,13100,15300
348030,모비릭스,20350,23750
002290,삼일기업공사,4980,5810
023910,대한약품,36400,42400
277810,레인보우로보틱스,22900,26650
064550,바이오니아,16200,18850
016920,카스,2420,2815
301300,바이브컴퍼니,28250,32800
082850,우리바이오,4230,4910
047820,초록뱀미디어,2240,2600
131370,알서포트,8110,9410
237880,클리오,19650,22800
078860,아이오케이,1655,1920
139050,시티랩스,997,1155
